Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
215000,2.0635893,1.5526815,1.4511487,1.4923142,1.8316713,1.6620852,1.8746449,1.2224894,2.215898,1.8214808,1.01373,0.51581662,1.512992,2.0288086
220000,1.9264369,1.4171124,1.3993625,1.2216946,1.9994064,1.7799628,1.7391669,1.2669829,2.1971913,1.8092838,0.98259165,0.53338267,1.466518,1.9999007
230000,2.0827511,1.5362557,1.1516772,1.5263069,2.0444268,1.7622984,1.5516838,1.5658952,2.5122337,1.6861188,0.92538664,0.539388,1.3811396,1.9205276
235000,1.7957325,1.5479227,1.1461189,1.4353398,1.9698272,1.6253935,1.3617939,1.6962662,2.8337417,1.5794182,0.99618611,0.46434698,1.4868078,1.9511547
245000,1.8088625,1.5353655,1.2144881,1.2515849,1.6941638,1.7702728,1.3351782,1.8769847,2.9227127,1.9587678,1.0427285,0.48712178,1.5562723,2.0433941
250000,1.6589828,1.3303764,1.493976,1.0725984,1.7600036,1.7236302,1.4476367,1.8135351,3.1632443,2.0437569,1.048217,0.43309183,1.5644639,1.9975557
260000,1.6070392,1.5007276,1.4842679,1.2461721,1.8655867,1.8038798,1.7035191,1.6882984,3.0127752,2.0732627,1.0890324,0.49721144,1.6253809,2.1225923
270000,1.8497201,1.6263267,1.5949858,1.4566622,2.156198,1.827132,1.7282809,2.0174366,2.9433757,1.8295105,1.019699,0.47460743,1.5219008,1.9965082
275000,1.8609837,1.5677737,1.6654986,1.3848738,2.1965711,1.7785485,1.5656806,1.9231422,2.910453,1.6718205,0.93995573,0.52839774,1.4028839,1.9312817
285000,1.951717,1.2437647,1.9705319,1.4264697,2.2832136,1.7918691,1.7981074,1.9665527,2.8493424,1.5142751,1.109094,0.51073026,1.6553227,2.166053
290000,1.8054175,1.3875926,2.0535167,1.5413076,2.5371005,1.7080961,1.6315961,2.0932407,2.698337,1.4760188,0.9724762,0.43329141,1.4514207,1.8847121
295000,1.8965075,1.4927936,1.9759597,1.3028777,2.7034678,1.7264862,1.8628931,2.2403082,2.5348449,1.5018395,1.005608,0.50037639,1.5008699,2.0012463
300000,1.6702591,1.504854,2.1840785,1.1629467,2.7387789,1.5895813,1.5535064,2.284272,2.623952,1.4142821,1.0117486,0.41929244,1.5100347,1.9293272
305000,1.6414821,1.3104776,2.0733817,1.1307415,2.6786268,1.3052708,1.6238985,2.0853991,2.6008948,1.3344047,1.0663256,0.48711309,1.591491,2.0786041
310000,1.54152,1.3882072,2.1913933,1.3437605,2.5304432,1.2577384,1.6536332,1.9205615,2.4208053,1.4599385,0.9522396,0.47668566,1.4212176,1.8979033
320000,1.6270471,1.3150936,2.5841592,1.6965245,2.6308273,1.1909701,1.564593,1.7117874,2.3135512,1.4954648,1.036621,0.51212361,1.5471569,2.0592805
325000,1.4333241,1.3863494,2.5866042,1.6260575,2.4914652,1.3638415,1.5883151,1.6689293,2.0473738,1.6247178,1.0156815,0.46484507,1.5159046,1.9807497
330000,1.4823739,1.4934177,2.3924503,1.410706,2.4221406,1.2839346,1.6438531,1.7836422,2.1430303,1.7546596,1.0129997,0.46979993,1.5119021,1.981702
335000,1.5895366,1.3998955,2.4063881,1.3765451,2.1955501,1.1775121,1.6538099,1.819413,1.9977045,1.5544769,1.0355161,0.50014222,1.5455077,2.04565
340000,1.5453118,1.4521604,2.5925497,1.4258782,1.867073,1.1170607,1.7335601,1.8358212,2.1708762,1.8759394,1.0656665,0.48058073,1.5905072,2.071088
345000,1.7035268,1.4506264,2.5770022,1.6178803,1.8168577,1.1479541,1.5570439,2.1520098,2.3035181,1.7659721,1.0985291,0.4880128,1.6395547,2.1275675
350000,1.670965,1.4071937,2.3743081,1.6774438,1.672301,0.89185091,1.6515621,2.2306949,2.1662942,1.7243438,1.0261758,0.40817398,1.5315674,1.9397414
355000,1.7141059,1.4095236,2.2534294,1.5962424,1.4683113,1.0489641,1.6682297,2.3181662,2.1659578,1.6196799,1.0127098,0.50196962,1.5114693,2.013439
360000,1.7974527,1.4839208,2.375976,1.5994155,1.5390651,0.99352858,1.7102954,2.3156298,2.2170979,1.6942551,0.9880589,0.41439674,1.4746779,1.8890747
