Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
270000,1.3523323,2.0867519,2.6443078,2.4933319,2.6793909,1.9266234,1.7275441,1.9202234,2.8505274,2.6438011,1.0323426,0.43191138,1.5407714,1.9726827
280000,1.346012,2.1934488,2.9822278,2.3453656,2.5889066,1.8299702,1.7470744,2.0173956,3.0266856,2.2166262,1.0433576,0.45177964,1.5572111,2.0089908
290000,1.2571363,1.9761425,3.1599275,2.3680548,2.9132984,1.7039054,1.6804636,2.0952621,2.8829113,1.9221261,0.96385726,0.45332278,1.438557,1.8918797
295000,1.2221051,1.8920537,3.1267761,2.2330059,3.1322511,1.7433559,1.632245,2.0731474,2.6256152,1.6990336,1.0143976,0.51457777,1.5139884,2.0285662
305000,1.294238,1.6031996,3.1733513,1.9444138,3.0849702,1.3093412,1.5985977,1.8235479,2.7648916,1.9744121,1.0572527,0.48750293,1.5779497,2.0654526
315000,1.5571634,1.665928,3.5533663,2.1783252,2.8297783,1.3585398,2.0295467,1.5065659,2.433173,1.9974132,0.98772466,0.4756941,1.4741791,1.9498731
320000,1.5223868,1.7010555,3.606127,2.3513018,3.0421521,1.4603151,1.9069952,1.3458045,2.3280638,1.825878,1.0649543,0.48779655,1.5894443,2.0772409
330000,1.6147733,1.7539509,3.3456387,2.0868493,2.8771905,1.5622325,1.6142086,1.2824139,1.9985364,2.1598952,1.0032892,0.43069079,1.4974091,1.9280999
340000,1.5488171,1.6706207,3.4940181,1.985651,2.3844938,1.4977965,1.4430268,0.96566572,2.2374007,1.9580953,1.0449457,0.55225486,1.5595815,2.1118364
345000,1.3340426,1.6882813,3.404824,2.1476243,2.3359128,1.4320317,1.4407846,1.0815351,2.2817214,1.7788314,1.116266,0.43195015,1.666027,2.0979771
350000,1.3115353,1.549952,3.1528067,2.2953777,2.2274377,1.2242833,1.6274431,1.2782149,2.066178,1.7408468,1.0335783,0.41736046,1.5426156,1.959976
360000,1.2468671,1.388274,3.0507943,2.0908536,2.0649624,1.2385271,1.9522014,1.5039581,2.1262042,1.6893999,0.98901948,0.43193842,1.4761116,1.90805
365000,1.1731808,1.4807759,2.9303035,2.3795094,2.250007,1.3875465,1.9529278,1.499601,2.24677,1.6355992,0.9395031,0.42876627,1.4022084,1.8309746
370000,1.2662434,1.5140527,2.976136,2.4592004,2.2940527,1.2680114,2.1580887,1.696686,2.4409267,1.6100075,1.106712,0.40855825,1.6517677,2.060326
380000,1.3965818,1.3901836,3.2300931,2.1838808,2.5001126,1.2765127,2.1750185,1.5643295,2.2626556,1.5335161,1.04922,0.56969464,1.5659608,2.1356554
390000,1.3677599,1.4448487,3.0652041,1.9482106,2.6447646,1.351698,2.0508603,1.5419907,2.2453196,1.1700399,1.0600217,0.50753882,1.5820824,2.0896212
395000,1.2858023,1.3992767,3.0249616,2.113597,2.7599623,1.4448642,1.8097705,1.912695,2.1337011,1.1042419,1.0750723,0.51137558,1.6045454,2.115921
405000,1.5734452,1.3527061,2.8011959,1.8342192,2.7562415,1.1633564,1.7394325,1.6242987,2.0334875,1.2172924,0.99081646,0.52588038,1.4787936,2.004674
410000,1.6158801,1.3562062,2.7940245,1.7183061,2.5977647,1.1419575,1.7517353,1.4940274,2.1957799,1.3782308,1.0638509,0.38230878,1.5877974,1.9701062
420000,1.6837532,1.5694643,3.1462564,1.9760995,2.4624114,1.2181406,1.9879825,1.6946253,2.1832918,1.4191197,1.0070246,0.44600699,1.5029843,1.9489913
425000,1.8683397,1.5088319,3.0979449,1.7810353,2.4345952,1.431227,2.1928925,1.6559449,2.1434518,1.3850913,1.031373,0.53291344,1.5393242,2.0722376
435000,2.0747024,1.3965371,2.7029857,1.6163672,2.3093234,1.5480909,2.0194414,1.7348912,1.9036236,1.2586551,0.94692392,0.62713896,1.4132839,2.0404229
445000,1.8342789,1.3107125,2.989407,1.7706816,2.1507753,1.4534248,2.3877791,1.9537443,2.0630141,1.3064109,1.0298779,0.5319343,1.5370927,2.069027
455000,2.1132346,1.150428,3.0900307,2.4544998,1.9538294,1.618216,2.3376216,1.7269364,1.9132646,1.295977,0.94040782,0.44948797,1.4035587,1.8530466
460000,2.0431537,1.2196898,3.0806218,2.4334185,2.0222102,1.6275803,2.1550034,1.6586204,1.9835219,1.2255665,0.97959275,0.40372714,1.4620422,1.8657693
470000,2.2637373,1.6354027,2.8365059,2.4790385,2.0456682,1.5592447,2.050956,1.5746191,1.8262984,1.19688,0.9306697,0.44740209,1.3890245,1.8364266
