0	-0.70875	-0.68	-0.614375	-0.64125	-0.656875	-0.606875	-0.601875	-0.576875	-0.575	-0.593125	0.005625	0.008125	-0.01375	0.005	-0.005625	0.006875	0.0225	-0.00875	-0.05875	0.0275	-0.006875	0.000625	0.015	0.00625	0.01375	0.021875	0.01	-0.006875	-0.025	0.00625
1	-0.965625	-0.91875	-0.85	-0.8775	-0.83125	-0.8025	-0.7925	-0.839375	-0.77375	-0.751875	-0.02875	0.006875	0.011875	0.028125	-0.003125	-0.00875	0.004375	-0.003125	-0.01	-0.058125	0.02125	0.016875	-0.005	-0.020625	-0.008125	-0.02375	0.025	0.02375	-0.018125	-0.005
2	-1.121875	-1.055	-0.995625	-0.981875	-0.928125	-0.91	-0.925	-0.88125	-0.873125	-0.824375	0.011875	0.00875	-0.014375	0.010625	0.00375	-0.025625	0.011875	-0.024375	0.021875	0.00375	0.001875	-0.005625	0.005	0.01125	-0.02875	-0.0125	0	-0.01875	0.0375	0.009375
3	-1.2125	-1.13625	-1.098125	-1.0625	-1.004375	-0.995625	-0.990625	-0.921875	-0.936875	-0.87375	0.011875	0.00375	0.013125	-0.018125	0.00875	-0.003125	0.0025	-0.009375	0.02375	-0.0125	-0.004375	-0.00375	-0.02	0.00125	-0.016875	-0.004375	0.00875	0.005	-0.049375	0.008125
4	-1.284375	-1.1775	-1.140625	-1.11625	-1.060625	-1.01	-1.0525	-0.96875	-0.945625	-0.913125	0.004375	-0.013125	-0.003125	-0.005	0.01375	0.034375	-0.005	0.00125	0.00875	0.005	0.018125	-0.000625	0.0025	-0.009375	0.01	0.011875	0.01	-0.0025	-0.020625	-0.009375
5	-1.33125	-1.21625	-1.17	-1.17375	-1.113125	-1.066875	-1.0625	-0.97625	-0.964375	-0.92875	0.025625	0.009375	0.00375	0.014375	0.010625	-0.01	-0.00375	0.043125	-0.021875	-0.00375	-0.00125	0.021875	0.005	0.045	-0.025	0.0025	-0.033125	0.016875	0.015	0.021875
6	-1.345625	-1.27	-1.2225	-1.1875	-1.151875	-1.094375	-1.064375	-1.009375	-0.97375	-0.9625	0.004375	0.01875	0.013125	-0.00625	0.00875	0.003125	0.0425	0.00625	0.004375	0.0175	-0.003125	-0.0225	0.004375	-0.000625	-0.0325	0.000625	0.02375	-0.01	-0.008125	0.008125
7	-1.36625	-1.31375	-1.254375	-1.223125	-1.161875	-1.099375	-1.0775	-1.009375	-0.989375	-0.979375	-0.005625	-0.016875	-0.000625	0.01125	0.020625	-0.02125	-0.01375	-0.00875	0.010625	0.011875	0.00375	0.005625	0.004375	-0.0075	0.01	0.0175	-0.011875	-0.02125	0.03	0.006875
8	-1.390625	-1.33875	-1.285625	-1.24125	-1.193125	-1.16	-1.084375	-1.004375	-1	-0.95625	-0.006875	0.01375	0.0125	-0.001875	0.01875	-0.0175	0.001875	-0.01	0.006875	0.04125	-0.011875	-0.005	-0.003125	-0.024375	0.005	0.009375	-0.035625	0.001875	0.0275	-0.025
9	-1.420625	-1.37125	-1.280625	-1.285	-1.1825	-1.13875	-1.095	-1.005	-1.0025	-0.935	-0.005625	0.009375	-0.008125	0.01375	0	-0.018125	0.025	0.000625	0.034375	-0.005625	-0.006875	0.009375	-0.045625	-0.001875	-0.010625	-0.01	-0.01125	-0.01	-0.00125	0.0175
