Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
1385,2.0055714,0.51801456,2.9933153,3.5113298,0.027387053,0.025,208.62918,216.03073,214.10575
1397,2.165728,0.62451132,3.2323491,3.8568604,0.029423444,0.025,212.22619,219.73146,217.78275
1402,2.2085073,0.6436202,3.2961972,3.9398174,0.029730927,0.025,213.78576,221.33745,219.37519
1403,2.2149813,0.64430079,3.3058596,3.9501604,0.029761257,0.025,214.10043,221.66166,220.66289
1429,2.0004094,0.65243415,2.985611,3.6380451,0.02160253,0.025,222.2581,230.09764,228.00823
1430,1.9816479,0.67215963,2.9303434,3.6025031,0.020522671,0.025,222.86602,230.72848,228.62844
1456,2.0154453,0.56299653,3.0080521,3.5710486,0.029362285,0.025,230.37473,238.52161,236.33245
1483,1.9433808,0.51030359,2.9004959,3.4107995,0.02820108,0.025,238.63477,247.10626,244.90966
1510,1.8194754,0.61234298,2.7155671,3.3279101,0.017254552,0.025,246.61375,255.42102,253.17979
1537,2.1145593,0.67211455,3.1559797,3.8280943,0.028904887,0.025,255.31944,264.45109,262.10464
1564,1.9878075,0.48923877,2.9668027,3.4560414,0.029051509,0.025,264.22033,273.62516,271.2042
1591,1.8526972,0.62811743,2.7651505,3.3932679,0.019390844,0.025,272.77081,282.44164,279.95731
1618,2.1539824,0.58255723,3.2148187,3.7973759,0.029607665,0.025,281.83752,291.82956,289.25092
1645,1.965944,0.67058507,2.9341714,3.6047565,0.025084196,0.025,291.21409,301.51004,298.81579
1672,1.9993605,0.53157021,2.9840455,3.5156157,0.026175289,0.025,300.43563,311.05205,308.30794
1673,1.993996,0.53682948,2.976039,3.5128685,0.025886632,0.025,300.7764,311.40628,308.6608
1699,1.9955772,0.62273994,2.9783989,3.6011388,0.023771305,0.025,309.6816,320.70681,317.89932
1726,2.3299207,0.76031536,3.4774067,4.2377221,0.031241853,0.025,319.77842,331.24801,328.29425
1753,2.0800801,0.6461855,3.1045195,3.750705,0.025259788,0.025,330.1007,341.89022,338.85235
1780,1.9672942,0.5502991,2.9361866,3.4864857,0.0250137,0.025,339.90468,351.97362,348.89147
1807,1.8665242,0.68584764,2.7857874,3.471635,0.021854127,0.025,349.54572,361.94841,358.77479
1834,2.2574344,0.60138766,3.3692209,3.9706085,0.03299247,0.025,359.81121,372.55381,369.29835
1861,1.9962707,0.69298025,2.979434,3.6724143,0.020809922,0.025,370.36382,383.48065,380.13012
1888,1.9460432,0.67502136,2.9044695,3.5794909,0.021549068,0.025,380.61433,394.15107,390.67041
1915,2.1393188,0.55143295,3.1929333,3.7443662,0.033642962,0.025,391.01633,404.97589,401.34856
1916,2.1542118,0.53932195,3.2151612,3.7544831,0.034197353,0.025,391.41201,405.3862,402.97767
1942,5.0905833,7.0108204,7.5976956,14.608516,-0.013585767,0.025,401.73702,416.06565,412.46429
1969,3.2110346,1.3689021,4.7924692,6.1613713,0.039987832,0.025,409.69587,424.3018,422.30898
1996,1.4884027,3.3017642,2.221441,5.5232052,-0.022165399,0.025,415.03152,429.83209,428.35945
2023,2.5625227,0.58442908,3.8245651,4.4089942,0.051301582,0.025,420.92023,435.88517,432.7271
2050,0.80008957,2.8083363,1.1941337,4.00247,-0.044238498,0.025,425.74435,440.83932,437.30108
2077,2.8776238,0.49270496,4.2948535,4.7875585,0.054595803,0.025,431.72605,447.0322,444.47634
2104,0.87944157,2.812169,1.3125665,4.1247355,-0.032162982,0.025,437.2829,452.82166,451.08417
2105,0.94570502,2.7500383,1.4114647,4.161503,-0.029317334,0.025,437.49348,453.04117,451.28646
2109,1.3326864,2.3646712,1.9890344,4.3537056,-0.012596455,0.025,438.36556,453.95006,452.08706
2113,1.8689808,1.8227391,2.7894538,4.612193,0.010419393,0.025,439.28883,454.91193,452.88267
2131,2.9840533,0.53813406,4.4536995,4.9918336,0.058440229,0.025,443.86568,459.67418,456.60406
2137,2.3884696,0.92986132,3.5647909,4.4946522,0.033026616,0.025,445.35387,461.22048,457.86979
2158,0.81207771,2.8712291,1.212026,4.0832551,-0.043934545,0.025,450.04253,466.08058,462.30859
2185,3.1471178,0.41549981,4.6970732,5.1125731,0.06590337,0.025,457.0657,473.34797,470.16347
2212,0.84985378,2.5460863,1.2684068,3.8144931,-0.034989324,0.025,463.75704,480.26798,478.05161
2216,0.88826217,2.5694782,1.3257313,3.8952095,-0.034623039,0.025,464.69227,481.23308,479.01651
2239,2.9488307,0.65915462,4.4011298,5.0602845,0.054468104,0.025,470.94103,487.68483,484.59685
2266,1.1512194,2.2469929,1.718195,3.9651879,-0.022658799,0.025,478.45077,495.47196,491.45564
2267,1.110013,2.3063804,1.6566945,3.9630749,-0.024800571,0.025,478.70459,495.73496,491.70811
2293,2.7827086,0.84650196,4.1531926,4.9996945,0.044807329,0.025,485.91426,503.20579,499.46498
2320,1.3050554,1.9813902,1.9477952,3.9291854,-0.016104495,0.025,493.83701,511.47313,508.74871
2347,2.5449157,1.0100491,3.7982867,4.8083358,0.038155327,0.025,501.42404,519.32284,516.30174
2374,1.5681175,1.5425915,2.3404153,3.8830068,0.00061773542,0.025,509.89049,528.06459,523.9941
2375,1.4792912,1.6462359,2.2078421,3.854078,-0.003706722,0.025,510.17343,528.35723,524.26446
2401,2.1008186,1.3530155,3.1354717,4.4884873,0.015213741,0.025,517.70709,536.14423,531.97592
2428,2.0102231,1.1394125,3.000258,4.1396705,0.017637777,0.025,526.7125,545.47974,542.12632
2455,1.6643151,1.7697358,2.4839903,4.2537262,0.00022785917,0.025,534.84722,553.86582,550.72591
2462,2.3354503,1.1467086,3.4856596,4.6323682,0.029733602,0.025,537.18189,556.25949,552.91773
2482,2.422491,0.71659742,3.6155678,4.3321653,0.036974543,0.025,544.19909,563.52081,559.39403
2486,2.0425015,1.0377818,2.7640197,3.9897398,0.011727073,0.025,546.79058,566.22631,561.86059
2509,1.3503008,2.0044187,2.0153239,4.0197426,-0.01627979,0.025,552.65156,572.3182,567.75734
2536,2.6213576,0.592595,3.9123762,4.5049712,0.044281306,0.025,562.23787,582.24788,578.18317
2563,1.282787,1.9845573,1.9145596,3.8991168,-0.015033765,0.025,571.13915,591.52624,587.89037
2565,1.3700438,1.9169537,2.0447904,3.961744,-0.01151846,0.025,571.79533,592.20478,588.56368
2590,2.6750717,0.66666333,3.9925445,4.6592078,0.045116366,0.025,580.89089,601.59464,597.40841
2617,1.2885142,1.9172861,1.9231074,3.8403935,-0.017388281,0.025,590.32444,611.38616,606.5769
2619,1.2943646,1.9355433,1.9318392,3.8673825,-0.017387423,0.025,590.99133,612.07289,607.24843
2644,2.7263953,0.64247565,4.069145,4.7116207,0.046720497,0.025,600.13071,621.46318,616.81819
2646,2.7390973,0.60775994,4.0881028,4.6958627,0.047904722,0.025,600.91375,622.27395,617.66175
2648,2.7162319,0.59613784,4.0539762,4.650114,0.047606015,0.025,601.69497,623.08432,618.5052
2671,3.3354118,10.069953,4.9781021,15.048056,-0.1094235,0.025,610.04203,631.79092,627.58743
2698,4.1751362,0.93487674,6.2313908,7.1662675,0.076969701,0.025,617.28497,639.25431,636.43895
2725,0.99652551,3.7928661,1.4873143,5.2801804,-0.044488497,0.025,621.80095,643.92935,641.68064
2752,2.9985496,0.95306993,4.4753352,5.4284051,0.054357674,0.025,626.51649,648.85742,644.77569
2779,0.84398142,3.1844493,1.2596423,4.4440916,-0.045274474,0.025,630.59646,653.07456,648.57606
2780,0.90193121,3.1299587,1.3461323,4.476091,-0.042874337,0.025,630.74603,653.23045,648.74507
2806,2.7881028,1.2344151,4.1612434,5.3956585,0.043187214,0.025,635.23468,657.94386,654.49581
2833,1.1071279,3.0460538,1.6523885,4.6984423,-0.030179259,0.025,639.67275,662.47929,660.13987
2860,2.8256555,1.2895253,4.2172908,5.5068161,0.040512744,0.025,644.61798,667.60382,663.80141
2887,1.1775522,2.9678721,1.7574966,4.7253687,-0.034911278,0.025,649.24937,672.37062,667.60879
2888,1.2093632,2.9454427,1.8049745,4.7504172,-0.033490897,0.025,649.41444,672.53698,667.77632
2914,2.99127,1.186595,4.4644704,5.6510655,0.050016842,0.025,654.24338,677.52942,673.38306
2941,1.2361057,2.7625169,1.8448878,4.6074047,-0.027025289,0.025,659.04481,682.56542,679.55404
2968,2.7957691,1.4382219,4.1726854,5.6109073,0.035821286,0.025,663.92989,687.56099,684.17574
2995,1.4011508,2.7139124,2.0912176,4.8051301,-0.023465825,0.025,668.93452,692.84593,688.12323
3022,2.5724077,1.7204678,3.8393185,5.5597863,0.029444583,0.025,673.82841,697.81696,693.15899
3049,1.4392417,2.6966112,2.1480682,4.8446794,-0.018495131,0.025,678.89096,703.22025,699.28454
3076,2.4228365,1.8638242,3.6160834,5.4799076,0.019673752,0.025,683.76578,708.14154,704.8776
3103,1.4930073,2.7050273,2.2283134,4.9333407,-0.019449716,0.025,688.86572,713.54894,709.30857
3130,2.4957554,1.7572279,3.724915,5.4821428,0.025481654,0.025,693.78541,718.51476,713.72091
3157,1.6031502,2.5056367,2.3927017,4.8983384,-0.011725222,0.025,698.81011,723.85449,719.15184
3158,1.5671237,2.5483072,2.3389321,4.8872393,-0.013403925,0.025,698.9859,724.04291,719.35755
3184,2.514327,1.6979551,3.7526331,5.4505881,0.024110215,0.025,703.69075,728.79959,725.0282
3211,1.6408735,2.4853278,2.4490037,4.9343315,-0.013236434,0.025,708.72342,734.0147,730.34745
3212,1.6077763,2.5235943,2.3996062,4.9232004,-0.014707489,0.025,708.89896,734.20433,730.50086
3238,2.4435892,1.8302594,3.6470569,5.4773163,0.0232231,0.025,713.57823,739.08718,734.34043
3265,1.6449016,2.4571216,2.4550156,4.9121372,-0.0099088074,0.025,718.64445,744.31899,739.14173
3292,2.2165629,2.1135827,3.3082202,5.4218028,0.01128633,0.025,723.48767,749.41857,744.78434
3319,1.6870566,2.4881419,2.517932,5.0060738,-0.010037365,0.025,728.62074,754.59298,750.98423
3346,2.1376307,2.1757249,3.1904139,5.3661387,0.0083970485,0.025,733.48149,759.7091,755.23092
3373,3.1922655,11.652049,4.7644562,16.416505,-0.12906274,0.025,738.67984,764.92911,759.57584
3400,4.6373842,1.6277431,6.9212959,8.5490391,0.079290768,0.025,743.97927,769.11748,763.9091
3427,1.1293819,4.412166,1.6856026,6.0977685,-0.054105641,0.025,747.4921,771.63661,767.29429
3428,1.1908467,4.3353264,1.7773388,6.1126652,-0.050970728,0.025,747.5536,771.71979,767.40728
3454,3.0557895,1.1942743,4.5607659,5.7550401,0.053434987,0.025,748.38008,774.08149,769.96786
3481,0.97733857,3.2224287,1.4586778,4.6811066,-0.037536285,0.025,749.75256,776.11,771.32819
3482,1.0258304,3.1806463,1.5310519,4.7116982,-0.035652562,0.025,749.8258,776.18095,771.37281
3508,2.9433613,1.3238628,4.3929668,5.7168296,0.043901312,0.025,752.65087,778.37315,773.02722
3535,1.0822267,3.3728186,1.6152233,4.9880419,-0.039035668,0.025,755.84651,780.59883,775.51076
3562,2.8872551,1.5886298,4.3092282,5.897858,0.043771421,0.025,757.27645,782.92616,778.89497
3589,1.2239812,3.1681902,1.8267919,4.9949821,-0.031100765,0.025,758.64353,785.25139,781.03748
3616,2.6801555,1.8633528,4.0001321,5.863485,0.027824282,0.025,761.2212,787.60939,782.33527
3643,1.4087595,3.011064,2.1025735,5.1136375,-0.026083971,0.025,764.48555,790.00461,784.36822
3670,2.5423083,2.0282919,3.7943952,5.8226871,0.027143787,0.025,766.61831,792.28036,787.78607
3697,1.6538371,2.7248816,2.4683519,5.1932335,-0.012857794,0.025,767.96877,794.62995,790.83901
3724,5.7316805,2.0826553,8.5545332,10.637188,0.09760372,0.025,769.81476,796.6737,794.01936
3751,1.1349581,3.8648678,1.6939249,5.5587927,-0.044903566,0.025,771.52167,797.87463,797.83264
3752,1.0678112,3.948682,1.5937083,5.5423902,-0.047853204,0.025,771.58134,797.91105,797.90679
3778,3.1823417,1.5773861,4.749645,6.327031,0.051437138,0.025,773.02154,798.90391,797.83014
3805,1.1153308,3.0651955,1.6646312,4.7298266,-0.03051594,0.025,773.6371,799.88433,797.04764
3832,2.7806228,1.6229063,4.1500795,5.7729859,0.033329122,0.025,773.96948,800.86015,798.21242
3859,1.2937469,3.1667919,1.9309172,5.0977091,-0.030303159,0.025,774.94253,801.8842,801.19592
3886,2.7611971,1.8889965,4.1210867,6.0100833,0.035021966,0.025,776.64052,802.87648,802.07909
3913,1.4574716,2.9989089,2.1752763,5.1741852,-0.020040413,0.025,778.05291,803.94214,801.41215
3940,2.4830018,2.0760777,3.7058802,5.781958,0.017544893,0.025,778.15018,804.89957,802.07541
3967,1.6331443,2.8240954,2.4374678,5.2615633,-0.017571752,0.025,778.67272,805.94379,804.44504
