Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
1380,2.000034,0.51171208,2.9850507,3.4967628,0.027593387,0.025,53.657195,55.534154,55.064459
1403,2.0002573,0.49740504,2.985384,3.4827891,0.027706757,0.025,55.442228,57.406901,56.918819
1404,2.0002411,0.49707013,2.9853599,3.48243,0.027718335,0.025,55.520407,57.488763,56.99983
1430,1.9998958,0.48960271,2.9848445,3.4744473,0.028213111,0.025,57.574309,59.629903,59.116026
1457,1.9991031,0.51995241,2.9836614,3.5036138,0.028615351,0.025,59.759909,61.885243,61.342326
1460,1.9992359,0.5252366,2.9840373,3.5092739,0.028716769,0.025,60.171291,62.307747,61.759736
1484,2.0013905,0.50950146,2.9870753,3.4965768,0.029509468,0.025,61.998956,64.182869,63.614895
1486,2.0015383,0.50479298,2.9872959,3.4920889,0.029600156,0.025,62.165973,64.354337,63.784724
1511,2.000569,0.45234727,2.9858492,3.4381965,0.030234635,0.025,64.25863,66.509393,65.920003
1516,2.0000304,0.45134616,2.9850453,3.4363915,0.030162098,0.025,64.679105,66.944205,66.350766
1538,1.9991729,0.47504244,2.9837656,3.458808,0.029229848,0.025,66.547742,68.883148,68.270656
1540,1.999269,0.47715923,2.983909,3.4610683,0.029125545,0.025,66.719424,69.061699,68.447363
1565,1.9994933,0.48606726,2.9842437,3.470311,0.027862743,0.025,68.889604,71.320872,70.680897
1592,1.9993402,0.52083642,2.9840153,3.5048517,0.02667949,0.025,71.289827,73.816299,73.142375
1593,1.9993654,0.52174585,2.9840529,3.5057987,0.026659203,0.025,71.379945,73.909813,73.234576
1619,1.9998193,0.53538367,2.9847303,3.520114,0.026852711,0.025,73.749404,76.362238,75.654806
1620,1.9998325,0.53617145,2.9848151,3.5209866,0.027000997,0.025,74.118028,76.742636,76.030912
1646,2.0007345,0.52673449,2.9860963,3.5128307,0.028394413,0.025,76.254753,78.942305,78.211108
1648,2.0008466,0.5241242,2.9862635,3.5103877,0.028552191,0.025,76.441675,79.13436,78.401893
1673,2.0016904,0.46902468,2.9875229,3.4565476,0.030571306,0.025,78.786262,81.539993,80.795426
1678,2.0015165,0.45736365,2.9872634,3.444627,0.030878066,0.025,79.256358,82.021896,81.275315
1700,1.9997856,0.43724564,2.98468,3.4219256,0.031247887,0.025,81.332374,84.150555,83.3947
1727,1.9990749,0.4691283,2.9836193,3.4527476,0.029701442,0.025,83.912368,86.806919,86.03537
1730,1.9989861,0.47693908,2.9833852,3.4603242,0.029271432,0.025,84.394483,87.306206,86.530598
1754,1.999441,0.50983088,2.9841657,3.4939966,0.027356036,0.025,86.532147,89.533602,88.734938
1756,1.9995481,0.51109778,2.9843255,3.4954233,0.027211691,0.025,86.727722,89.738369,88.937274
1781,1.9997735,0.51599141,2.984662,3.5006534,0.026011155,0.025,89.187417,92.320724,91.488243
1786,1.9995611,0.51891797,2.984345,3.5032629,0.025899511,0.025,89.683121,92.841638,92.003169
1808,1.9989412,0.54900784,2.9834197,3.5324275,0.025990692,0.025,91.886125,95.153747,94.291947
1810,1.9989914,0.55198684,2.9834947,3.5354816,0.026059741,0.025,92.088438,95.365761,94.502084
1835,2.0012563,0.54980189,2.986875,3.5366769,0.028021224,0.025,94.642803,98.039001,97.153699
1840,2.0018979,0.53659414,2.9878326,3.5244268,0.028632905,0.025,95.157517,98.577042,97.687563
1862,2.0029987,0.44117368,2.9894755,3.4306492,0.031436569,0.025,97.424349,100.94302,100.03512
1889,1.9993143,0.39866416,2.9839766,3.3826408,0.032364769,0.025,100.21702,103.84205,102.91479
1890,1.9991603,0.40845207,2.9828039,3.391256,0.032087405,0.025,100.7399,104.38213,103.45245
1916,1.9973147,0.49716417,2.9809922,3.4781564,0.029679089,0.025,103.07977,106.78995,105.85468
1918,1.9975327,0.50437269,2.9813176,3.4856903,0.029432307,0.025,103.29591,107.01185,106.0764
1943,2.000547,0.52952335,2.9858164,3.5153397,0.026954778,0.025,106.02916,109.81633,108.88131
1948,2.0007968,0.52382885,2.9861893,3.5100181,0.026623776,0.025,106.5796,110.38154,109.44674
1970,1.9998852,0.50750656,2.9848286,3.4923352,0.025639401,0.025,109.00761,112.8798,111.94295
1997,1.9987515,0.54938698,2.9831366,3.5325236,0.025561453,0.025,112.01915,115.99285,115.03866
2000,1.9988933,0.55720299,2.9835362,3.5407391,0.025783835,0.025,112.58306,116.57749,115.61761
2024,2.0014845,0.54696007,2.9872156,3.5341756,0.027881653,0.025,115.08325,119.17404,118.18035
2026,2.0017143,0.54166658,2.9875585,3.5292251,0.028148464,0.025,115.31148,119.41126,118.41393
2051,2.0028668,0.44531131,2.9892788,3.4345901,0.031561357,0.025,118.16508,122.37626,121.33016
2057,2.002593,0.42116119,2.98887,3.4100312,0.032196735,0.025,118.84956,123.08649,122.02868
2078,1.9991981,0.39695992,2.9838032,3.3807631,0.032788072,0.025,121.25282,125.57535,124.4792
2080,1.9989337,0.4066092,2.9829231,3.3895323,0.032538538,0.025,121.82999,126.17199,125.06744
2105,1.9978828,0.47310762,2.9818401,3.4549478,0.03029306,0.025,124.40723,128.83245,127.69384
2107,1.9979271,0.47926404,2.9819062,3.4611703,0.030033837,0.025,124.64475,129.07738,127.93588
2132,1.998923,0.53763943,2.9833926,3.521032,0.026838253,0.025,127.6541,132.17708,131.00239
2137,1.9991818,0.54414104,2.9837789,3.5279199,0.026314033,0.025,128.26363,132.80406,131.62341
2159,2.0002954,0.54923631,2.9854409,3.5346772,0.024969943,0.025,130.9655,135.58048,134.37635
2160,2.0003294,0.54810892,2.9855379,3.5336469,0.024934784,0.025,131.21224,135.83389,134.62784
2186,2.0001841,0.53393848,2.9852748,3.5192133,0.025573232,0.025,134.3046,139.01112,137.7836
2190,2.0001191,0.53305053,2.9851611,3.5182116,0.025906866,0.025,134.92482,139.64911,138.41772
2213,2.0008038,0.52290443,2.9861997,3.5091041,0.02806055,0.025,137.66159,142.46969,141.22146
2217,2.0012247,0.5159386,2.9868279,3.5027665,0.02856462,0.025,138.16013,142.98457,141.73313
2240,2.002055,0.44467518,2.9880671,3.4327422,0.031480635,0.025,141.02184,145.94595,144.67425
2267,1.999697,0.40667886,2.9845478,3.3912266,0.0326441,0.025,144.37413,149.42582,148.12615
2294,1.9978623,0.47354952,2.9818095,3.455359,0.030331632,0.025,147.76874,152.95912,151.62614
2297,1.9979207,0.48287487,2.9818967,3.4647716,0.029953786,0.025,148.15085,153.35738,152.02036
2321,1.9991827,0.53341452,2.9837802,3.5171947,0.027028595,0.025,151.24248,156.58239,155.21152
2348,1.9994218,0.55677162,2.9841371,3.5409087,0.025030926,0.025,154.77899,160.27213,158.86356
2350,1.9994319,0.55928563,2.9841642,3.5434498,0.024940475,0.025,155.17548,160.6854,159.27294
2375,2.0002998,0.56700757,2.9854474,3.552455,0.025462623,0.025,158.3731,164.01222,162.57267
2402,2.0031758,0.48160923,2.9897399,3.4713492,0.028770287,0.025,162.00252,167.77239,166.31067
2405,2.0031309,0.46755596,2.9896728,3.4572288,0.02920664,0.025,162.40516,168.18867,166.72462
2429,2.0007793,0.39333433,2.9861632,3.3794975,0.031790092,0.025,165.62084,171.50976,170.02536
2456,1.9972728,0.4549771,2.9809296,3.4359067,0.031368719,0.025,169.27612,175.28015,173.77005
2459,1.9972903,0.46715212,2.9809557,3.4481078,0.031150602,0.025,169.68836,175.70527,174.19229
2483,1.9998687,0.51793102,2.9848041,3.5027351,0.029310984,0.025,173.02788,179.1522,177.61699
2487,2.0002096,0.51686919,2.9853128,3.502182,0.029033628,0.025,173.58896,179.73232,178.19354
2510,1.9997825,0.5081852,2.9846754,3.4928606,0.027448667,0.025,176.82369,183.08488,181.52498
2537,1.9983886,0.55387902,2.982595,3.5364741,0.025865253,0.025,180.65719,187.07192,185.48112
2540,1.9984106,0.56332091,2.9826666,3.5459876,0.025751054,0.025,181.23111,187.6693,186.07309
2564,2.001876,0.56188306,2.9877999,3.549683,0.026523112,0.025,184.55909,191.13261,189.50014
2591,2.003086,0.43604496,2.9896058,3.4256507,0.029614185,0.025,188.46552,195.19753,193.50753
2595,2.0026279,0.4199191,2.9889221,3.4088412,0.030017876,0.025,189.04121,195.7967,194.09675
