Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
1298,1.9249908,0.57143788,2.8730487,3.4444866,0.025008598,0.025,48.41638,50.046205,49.630999
1322,2.0410179,0.47434528,3.0462193,3.5205646,0.029503752,0.025,50.20026,51.89837,51.461971
1349,2.1561234,0.44232689,3.2180142,3.6603411,0.033382966,0.025,52.295386,54.082117,53.618776
1350,2.1497377,0.4503648,3.1843429,3.6347077,0.03274158,0.025,52.531609,54.329289,53.863092
1376,1.8724891,0.46389521,2.79469,3.2585852,0.025754171,0.025,54.370328,56.260324,55.773383
1379,1.8641711,0.45463069,2.7822754,3.2369061,0.025590708,0.025,54.594272,56.496055,56.006705
1403,1.9749795,0.41990426,2.9476569,3.3675612,0.028494345,0.025,56.405118,58.400337,57.891506
1407,2.0125338,0.43099377,3.0037068,3.4347005,0.029300217,0.025,56.71757,58.728018,58.215688
1430,2.1155547,0.56753111,3.1574654,3.7249965,0.030321539,0.025,58.598223,60.692527,60.157505
1457,1.8766828,0.6038046,2.8009491,3.4047537,0.024155849,0.025,60.860705,63.041927,62.477342
1460,1.8237528,0.57473654,2.6613568,3.2360933,0.022329657,0.025,61.340441,63.538838,62.968016
1484,1.8606516,0.43415595,2.7770225,3.2111785,0.027003903,0.025,62.986584,65.241399,64.649402
1511,2.0764867,0.40000197,3.0991564,3.4991584,0.0340089,0.025,65.228848,67.553992,66.932747
1515,2.0664221,0.41758649,3.084135,3.5017214,0.033567498,0.025,65.572143,67.907507,67.281727
1538,1.9959894,0.44905354,2.9790142,3.4280678,0.030319936,0.025,67.557717,69.952323,69.300749
1539,1.9950963,0.44624502,2.9776812,3.4239262,0.0302405,0.025,67.644145,70.041412,69.388745
1565,1.8502214,0.4271087,2.7614554,3.1885641,0.024265395,0.025,69.878238,72.348178,71.668949
1592,1.7519232,0.56512687,2.6147454,3.1798723,0.019228086,0.025,72.124204,74.674168,73.972384
1593,1.7659671,0.56981444,2.635706,3.2055204,0.019550877,0.025,72.209901,74.762996,74.060404
1619,2.0683723,0.58851865,3.0870456,3.6755642,0.028810832,0.025,74.579493,77.218064,76.494141
1620,2.0765565,0.56463868,3.1437503,3.708389,0.030545578,0.025,75.056157,77.711266,76.983495
1646,2.0813864,0.43963403,3.1064692,3.5461032,0.033323294,0.025,77.167031,79.89156,79.150829
1648,2.0601844,0.43192594,3.0748252,3.5067511,0.033012473,0.025,77.356034,80.086474,79.344973
1673,1.8683698,0.41667369,2.7885419,3.2052156,0.029215293,0.025,79.65282,82.45183,81.705261
1678,1.8694983,0.42529288,2.7902262,3.215519,0.029140952,0.025,80.108005,82.920106,82.173016
1700,2.0407018,0.42810909,3.0457475,3.4738566,0.032544027,0.025,82.167357,85.038689,84.286965
1727,2.0735444,0.44622341,3.0947651,3.5409885,0.030279923,0.025,84.836005,87.787263,87.019294
1730,2.0507013,0.59192184,2.8859947,3.4779165,0.022443745,0.025,87.507068,90.546115,89.758769
1754,1.9336648,0.59192184,2.8859947,3.4779165,0.022443745,0.025,87.507068,90.546115,89.758769
1756,1.9324303,0.60012836,2.8841522,3.4842806,0.022215951,0.025,87.705698,90.751702,89.963197
1781,2.0632319,0.60043203,3.0793736,3.6798056,0.025726712,0.025,90.234861,93.375362,92.576351
1786,2.1048813,0.57863312,3.1415353,3.7201684,0.027369561,0.025,90.754125,93.915456,93.114775
1808,2.0785403,0.47086502,3.1022214,3.5730864,0.030075977,0.025,93.054563,96.314013,95.503552
1809,2.0626077,0.46784628,3.0784419,3.5462882,0.029819445,0.025,93.157255,96.42129,95.61023
1835,1.8305345,0.4564191,2.7320727,3.1884918,0.026974178,0.025,95.72111,99.10373,98.271613
1839,1.8473208,0.45778651,2.7571263,3.2149128,0.0277964,0.025,96.113442,99.514635,98.678308
1862,2.0586246,0.40719569,3.0724972,3.4796929,0.03526426,0.025,98.44962,101.9613,101.0959
1863,2.0668407,0.40308661,3.0847598,3.4878464,0.035537434,0.025,98.554463,102.07109,101.20423
1889,2.0392919,0.36772011,3.0436432,3.4113633,0.034008392,0.025,101.3135,104.95844,104.04915
1890,2.0294741,0.38666214,2.9667552,3.3534173,0.031939713,0.025,101.84074,105.50941,104.59149
1916,1.833229,0.51089635,2.7360943,3.2469907,0.023825822,0.025,104.13586,107.90117,106.94801
1920,1.8484595,0.54049276,2.7894351,3.3299279,0.023674099,0.025,104.76845,108.55785,107.59644
1943,2.2195488,0.59337126,3.3126766,3.9060479,0.029827475,0.025,107.16153,111.03102,110.04621
1946,2.2154472,0.59466336,3.306555,3.9012183,0.029496825,0.025,107.51751,111.39759,110.41025
1970,1.9861609,0.55648545,2.9643452,3.5208307,0.023565224,0.025,110.31156,114.26744,113.26494
1997,1.9139606,0.4883355,2.8565862,3.3449217,0.024670679,0.025,113.31188,117.34509,116.32646
2000,1.9243361,0.48509307,2.8720716,3.3571647,0.025367703,0.025,113.64523,117.68727,116.6665
2024,2.1346097,0.45735155,3.185905,3.6432566,0.034426113,0.025,116.38817,120.50681,119.46531
2051,2.0684912,0.39201899,3.087223,3.479242,0.035404656,0.025,119.62262,123.84432,122.7702
2054,1.9979495,0.39226388,2.9819397,3.3742036,0.033630877,0.025,119.97041,124.20414,123.12601
2075,1.8312999,0.42402203,2.733215,3.1572371,0.028252196,0.025,122.32548,126.64554,125.53847
2078,1.8408633,0.42981875,2.7474885,3.1773073,0.028220177,0.025,122.66193,126.99488,125.8835
2080,1.8505872,0.43736672,2.7802866,3.2176533,0.028384764,0.025,123.11374,127.46413,126.34692
2105,2.0591888,0.4853816,3.0733393,3.5587209,0.030576741,0.025,125.822,130.27685,129.12498
2109,2.0759544,0.49589592,3.098362,3.5942579,0.030447977,0.025,126.31159,130.78478,129.6269
2132,2.0330679,0.54983456,3.0343538,3.5841884,0.026485694,0.025,129.16667,133.74049,132.55064
2133,2.0278177,0.55099031,3.0265179,3.5775082,0.026262764,0.025,129.29091,133.86887,132.67777
2159,1.8225063,0.52537185,2.7200907,3.2454626,0.020596911,0.025,132.46295,137.14262,135.92418
2160,1.8112331,0.51736154,2.6549846,3.1723461,0.019733257,0.025,132.9335,137.628,136.40626
2186,1.8171124,0.46400512,2.7120403,3.1760454,0.023471447,0.025,135.5904,140.3692,139.13244
2189,1.8762499,0.45481674,2.8003029,3.2551197,0.025471952,0.025,135.94593,140.73607,139.49777
2213,2.1431148,0.39011615,3.1985988,3.5887149,0.036084583,0.025,138.94847,143.8349,142.58653
2215,2.1381959,0.38841596,3.1912573,3.5796733,0.036173553,0.025,139.20363,144.09834,142.8492
2240,1.9285926,0.41846818,2.8784245,3.2968926,0.031512137,0.025,142.34308,147.34343,146.08077
2267,1.9330838,0.46403168,2.8851275,3.3491592,0.029762957,0.025,145.66418,150.7889,149.49713
2268,1.9444854,0.46509695,2.9021445,3.3672414,0.029955577,0.025,145.78987,150.91959,149.62641
2294,2.2029974,0.51431333,3.2879737,3.802287,0.033095199,0.025,149.23526,154.50761,153.17122
2298,2.1793315,0.5266224,3.2526522,3.7792746,0.031863615,0.025,149.78094,155.07655,153.73287
2321,2.0080546,0.57543876,2.9970215,3.5724603,0.02458096,0.025,152.87635,158.30517,156.91927
2322,2.0033018,0.57602104,2.989928,3.565949,0.02438382,0.025,153.00938,158.4439,157.05619
2348,1.9650018,0.5630819,2.9327652,3.4958471,0.023325739,0.025,156.45614,162.03359,160.60129
2350,1.9694445,0.55482489,2.9476745,3.5024994,0.02390538,0.025,156.9886,162.58689,161.14835
2375,2.1010819,0.47530049,3.1358648,3.6111653,0.030239666,0.025,160.09758,165.80932,164.33817
2376,2.107039,0.47159869,3.1447557,3.6163544,0.03054864,0.025,161.06332,166.80772,165.32777
2402,2.0023317,0.41558954,2.9884801,3.4040697,0.031263237,0.025,163.8133,169.64656,168.14492
2423,1.8408991,0.4118863,2.7475418,3.1763572,0.028794475,0.025,167.36541,173.31051,171.78641
2429,1.8505561,0.4144022,2.761955,3.1763572,0.028794475,0.025,167.36541,173.31051,171.78641
2430,1.8546626,0.414985,2.7680839,3.1830689,0.028911458,0.025,167.49671,173.44598,171.92111
2456,2.1025468,0.44709675,3.1380511,3.5851478,0.034379487,0.025,171.04915,177.11485,175.56876
2460,2.1182401,0.52640206,3.025077,3.5514791,0.029295625,0.025,174.92494,181.12833,179.55602
2483,2.0268523,0.52640206,3.025077,3.5514791,0.029295625,0.025,174.92494,181.12833,179.55602
2484,2.0215873,0.52878718,3.017219,3.5460062,0.029035373,0.025,175.06791,181.27662,179.70325
2510,1.9744771,0.54631278,2.9469071,3.4932198,0.025441628,0.025,178.77421,185.12468,183.52325
2537,2.031545,0.50370497,3.0320809,3.5357859,0.026770314,0.025,182.66459,189.1639,187.53323
2538,2.033044,0.5018689,3.0343182,3.5361871,0.026843248,0.025,182.80998,189.3147,187.68291
2564,1.9063936,0.48421638,2.8452925,3.3295089,0.025009875,0.025,186.57571,193.21736,191.55461
2568,1.8614173,0.48514824,2.7781653,3.2633136,0.024165679,0.025,187.14033,193.80229,192.13446
2591,1.8589548,0.46196412,2.77449,3.2364541,0.026515711,0.025,190.34007,197.11882,195.41992
2592,1.8709066,0.45928714,2.792328,3.2516152,0.026948001,0.025,190.48107,197.26506,195.56471
2618,2.1665445,0.3866239,3.2335677,3.6201916,0.037166815,0.025,194.31774,201.24503,199.50312
2620,2.1663051,0.38383733,3.2266542,3.6104915,0.037167492,0.025,194.92579,201.87568,200.12673
2645,1.9304156,0.44237378,2.8811452,3.323519,0.029944514,0.025,198.36951,205.44557,203.65399
2646,1.9205208,0.44668397,2.8663772,3.3130612,0.029580113,0.025,198.51609,205.59747,203.80398
2672,1.8981077,0.52536469,2.8329257,3.3582904,0.026109448,0.025,202.32885,209.54717,207.70386
2674,1.9084664,0.52825305,2.8483861,3.3766391,0.026188896,0.025,202.62764,209.85656,208.00944
2699,2.0135047,0.51842573,3.0051558,3.5235815,0.027483336,0.025,206.44228,213.8032,211.91059
2726,2.0297795,0.47175187,3.0294459,3.5011978,0.027801827,0.025,210.65126,218.15006,216.21014
2729,2.0152163,0.47220122,3.0077104,3.4799116,0.027434662,0.025,211.27335,219.59071,217.63414
2753,1.8220821,0.50907903,2.7194575,3.2285365,0.022888937,0.025,214.78213,222.41372,220.42319
2780,2.0372809,0.45895261,3.0406418,3.4995944,0.030986934,0.025,218.86705,226.63256,224.59539
2807,2.1369999,0.41430123,3.1894724,3.6037736,0.035449044,0.025,223.26273,231.16926,229.09445
2810,2.099834,0.41980814,3.1340023,3.5538104,0.034465224,0.025,223.74864,231.67036,229.59189
2834,1.9002642,0.45937164,2.8361443,3.2955159,0.028204717,0.025,227.53671,235.57478,233.46783
2861,1.9889302,0.48691262,2.9684783,3.4553909,0.028511043,0.025,231.81593,239.98633,237.84147
2864,2.0047798,0.48848493,2.9921338,3.4806188,0.028707554,0.025,232.30326,240.48939,238.33959
2888,2.0482222,0.49502789,3.0569716,3.5519995,0.028389352,0.025,236.26249,244.5854,242.39083
2915,1.9840277,0.53664813,2.9611614,3.4978095,0.025804966,0.025,240.7351,249.23139,246.97871
2918,1.9804505,0.54101988,2.9558223,3.4968422,0.025714371,0.025,241.23221,249.74865,247.48929
2942,2.0136066,0.52474197,3.0053079,3.5300499,0.027819326,0.025,245.23268,253.91393,251.60295
2943,2.0168371,0.52201275,3.0101293,3.5321421,0.02799704,0.025,245.40063,254.08884,251.77588
2969,2.0206077,0.44825611,3.0157571,3.4640132,0.030716523,0.025,249.7851,258.65543,256.2997
2970,2.0124398,0.44345128,2.9599074,3.4033587,0.030077696,0.025,250.4524,260.37963,258.01288
2996,1.8066216,0.42482325,2.6963827,3.1212059,0.026902814,0.025,254.16761,263.21938,260.84067
2997,1.808122,0.42325688,2.6986221,3.121879,0.026987936,0.025,254.32675,263.38504,261.00584
3023,2.0826706,0.40479005,3.1083858,3.5131759,0.034214399,0.025,258.60372,267.83072,265.44375
3027,2.1146618,0.40892006,3.1561328,3.5650528,0.034826101,0.025,259.296,268.54871,266.16088
3050,2.0582426,0.44876574,3.0719271,3.5206929,0.031130143,0.025,263.32796,272.71986,270.32584
3077,1.9227019,0.52240305,2.8696325,3.3920356,0.02422911,0.025,267.9974,277.53525,275.12587
3080,1.9210561,0.53493661,2.8672959,3.4022325,0.023781711,0.025,268.68876,278.24781,275.83486
3104,1.9763454,0.58695969,2.9496955,3.5366552,0.024210278,0.025,272.72723,282.41235,279.96992
3105,1.9793833,0.58765743,2.9542295,3.5418869,0.024309994,0.025,272.9056,282.59643,280.15235
3131,2.0396129,0.54590675,3.0441222,3.590029,0.028233277,0.025,277.58992,287.43795,284.94102
3135,2.0441766,0.53181642,3.0509336,3.58275,0.028935856,0.025,278.31409,288.18783,285.68142
3158,2.0125094,0.4331804,3.0036703,3.4368507,0.031644689,0.025,282.45031,292.47874,289.91539
3159,2.0083642,0.42837648,2.9974836,3.4258601,0.031679503,0.025,282.6279,292.66324,290.09744
3183,1.8113956,0.34980358,2.703508,3.0533116,0.028836501,0.025,286.77608,296.97544,294.35695
3185,1.791749,0.34782924,2.6741854,3.0220146,0.028395716,0.025,287.11003,297.32258,294.70036
3189,1.7569078,0.34607027,2.6221849,2.9682552,0.027572283,0.025,287.77314,298.01175,295.38241
3212,1.8820008,0.37198642,2.8088862,3.1808726,0.029895725,0.025,291.58761,301.97121,299.30697
3213,1.9051049,0.3739686,2.843369,3.2173376,0.030399028,0.025,291.76131,302.15126,299.48561
3239,2.0800104,0.45927618,3.1044156,3.5636917,0.031410185,0.025,296.51765,307.0737,304.37109
3240,2.076133,0.47868112,3.0773301,3.5560113,0.030248959,0.025,297.2647,307.84559,305.13716
3266,1.9145324,0.5872819,2.8574396,3.4447215,0.022913373,0.025,301.53784,312.25559,309.51318
3267,1.910851,0.59045202,2.8519452,3.4423972,0.022714968,0.025,301.72258,312.44607,309.70217
