26

S0	4.936575655	0.383264335	4.07478984
S1	2.488619239	0.3481050359	2.669826573
S2	3.728347284	3.84254521	4.365157679
S3	2.824610625	2.100984825	3.70875662
S4	2.506316885	4.314471239	2.444940886
S5	1.140628688	2.632073373	1.571393378
S6	0.762523225	1.267528375	3.83032379
S7	2.66706681	1.85129122	4.35195305
S8	4.320206834	2.094486358	4.660729858
S9	4.1320117	0.80918531	4.30895513
S10	1.91561863	2.975116535	1.35410106
S11	4.875885088	0.0361763098	0.0049358968
S12	0.4158240172	1.641902528	1.14553547
S13	4.720583361	1.803678638	0.502933847
S14	3.28161727	4.665449485	3.21212735
S15	4.7682897	2.75143494	3.238225943
S16	4.73260711	2.436202845	1.94109219
S17	1.832016359	2.107695755	2.384259104
S18	2.20230536	1.96145912	4.029163275
S19	4.219470082	2.615498892	0.2771001374
S20	2.258730947	2.082901617	2.668521313
S21	4.702418207	1.019803822	1.612835462
S22	0.42713935	2.88658866	1.123154365
S23	2.756572605	3.362979515	4.37207203
S24	1.750930959	3.306564138	4.249966065
S25	1.99229246	0.5519019845	4.501815071
26

S0	4.936575655	0.383264335	4.07478984
S1	2.488619239	0.3481050359	2.669826573
S2	3.709432917	3.867044983	4.377929754
S3	2.824610625	2.100984825	3.70875662
S4	2.509677666	4.300231416	2.472368871
S5	1.140628688	2.632073373	1.571393378
S6	0.7046544904	1.287830076	3.797799469
S7	2.661411256	1.829981643	4.38774237
S8	4.320206834	2.094486358	4.660729858
S9	4.167903876	0.8503605282	4.350217747
S10	1.908251573	3.022412794	1.317374055
S11	4.884539083	0.0771246634	0.0279835568
S12	0.4158240172	1.641902528	1.14553547
S13	4.720583361	1.803678638	0.502933847
S14	3.326942726	4.712521273	3.235901461
S15	4.7682897	2.75143494	3.238225943
S16	4.780426065	2.476842219	1.956095801
S17	1.832016359	2.107695755	2.384259104
S18	2.160922227	1.916993899	3.986281718
S19	4.219470082	2.615498892	0.2771001374
S20	2.315210798	2.052226143	2.652689152
